item,days,item
Blunt Wraps,0,1
Dissolved,0,1
Liberty caps,1,1
Gardening Supplies,2,1
Intoxicants,2,1
Precursors,3,1
azurescens,3,1
Peyote,4,1
Writing,4,1
4-HO-DIPT,5,1
DOM,5,1
Magazines,5,1
Crystal,6,1
Custom Orders,6,1
Gold,6,1
A-PVP,9,1
Liquid,9,1
Microdots,9,1
Dimethocaine,10,1
Adderall,11,1
Bondage,11,1
Prostate Massager,11,1
Sporting goods,11,1
Yubikeys,12,1
DOx,13,1
Food,13,1
Inhalants,13,1
LSD,13,1
Tickets,13,1
Vinyl,14,1
Bongs,15,1
Smoking Blend,15,1
Mescaline,16,1
4-FMC,18,1
Drugs,18,1
LSA,18,1
Cyanescens,19,1
Melee,19,1
Vaporizers,19,1
Cannabis,21,1
Dissociatives,21,1
Fireworks,21,1
Pain Relief,21,1
Scales,21,1
25B-NBOMe,22,1
Cocaine,22,1
Collectibles,22,1
Weed,22,1
Cubensis,23,1
Heroin,23,1
Jewelry,23,1
MDAI,23,1
Meth,23,1
Tramadol,23,1
2C-T-7,24,1
4-HO-MIPT,24,1
Ammunition,24,1
Beverages,24,1
IV/IM,24,1
Sunglasses,24,1
Weaponry,24,1
Weight loss,24,1
25C-NBOMe,25,1
25I-NBOMe,25,1
"3,4DMMC",25,1
MDPV,25,1
25D-NBOMe,26,1
4-AcO-MIPT,26,1
Bullion,26,1
Crack,26,1
Handbags,26,1
Hash,26,1
Pharmaceuticals,26,1
Recipes,26,1
Shrooms,26,1
Supplements,26,1
Explosives,27,1
Home & Garden,27,1
Soma,27,1
2-FMA,28,1
Rolling Supplies,28,1
2C Family,29,1
DMT,29,1
Kink,29,1
2C-T-2,30,1
5-APB,30,1
Clothing,30,1
Concentrates,30,1
Grinders,30,1
Herbs & Supplements,30,1
Packaging,30,1
Video,30,1
5-MeO-DALT,31,1
Lotteries & games,31,1
MDMA,31,1
MXE,31,1
Mexicana,31,1
Mimosa Hostilis,31,1
Opioids,31,1
Watches,31,1
Art,32,1
Speed,32,1
Ibogain,33,1
2C-P,34,1
5-MEO-AMT,34,1
Accessories,34,1
Ketamine,34,1
Loans,34,1
Papers,34,1
Silver,34,1
2C-I,35,1
4-AcO-DMT,35,1
Benzos,35,1
Digital currencies,35,1
Opium,35,1
Pills,35,1
TMA Family,35,1
Viagra,35,1
MDA,36,1
Musical instruments,36,1
4-FMA,37,1
4-HO-MET,37,1
5-MeO-DiPT,37,1
Tan,37,1
Topicals,37,1
Apparel,38,1
Cones,38,1
Electronics,38,1
Money,38,1
Services,38,1
2C-E,39,1
Alcohol,39,1
Computer equipment,39,1
Ephedrine,39,1
Psychedelics,39,1
Ecstasy,40,1
PCP,40,1
4-FA,41,1
Oils,41,1
2C-B,42,1
2C-C,42,1
DXM,42,1
Salvia,42,1
DOC,43,1
Mephedrone,43,1
Atlantis,44,1
Cultures,44,1
5-MEO-MIPT,45,1
Fake IDs,45,1
White,45,1
Caffeine,46,1
Forgeries,46,1
GHB,46,1
Physical Books,46,1
2C-D,47,1
AMT,47,1
FAs,47,1
Medical,47,1
Passports,47,1
Lab Supplies,48,1
Drug paraphernalia,49,1
Entheogens,49,1
Glassware,49,1
Medical supplies,49,1
4-MEC,50,1
Methylone,50,1
Spores,50,1
Lab Testing,52,1
NBOMe,52,1
Tobacco,56,1
"CDs, DVDs, software, etc.",57,1
Ethylphenidate,58,1
Butylone,59,1
Hardware,59,1
Pipes,59,1
DOB,61,1
Newsletters,61,1
4-AcO-DET,63,1
Invites / Accounts,63,1
Synthetic,63,1
Biotic materials,64,1
SSRIs,64,1
Books,65,1
Ethylone,65,1
Instruments,65,1
"Security, defense",65,1
DOI,66,1
Security,67,1
Erotica,68,1
Lock picks,69,1
5-MeO-DMT,70,1
MDPPP,71,1
"Steroids, PEDs",73,1
2C-T-4,75,1
Barbiturates,75,1
Digital goods,75,1
Crystal / Powder,88,1
2-FA,96,1
4-HO family,98,1
San Pedro,112,1
Renewable Energy,120,1
Antibiotics,171,1
